kode_prov,nama_prov,kode_satker,kode_ddn,nama_daerah,kode_skpd,nama_skpd,kode_unit_skpd,nama_unit_skpd,kode_urusan,nama_urusan,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,indikator_program,target_program,satuan_indikator_program,sasaran,kode_giat,nama_giat,indikator_giat,target_giat,satuan_indikator_giat,kode_sub_giat,nama_sub_giat,indikator_sub_giat,target_sub_giat,satuan_indikator_sub_giat,kode_dana,nama_dana,kode_akun,nama_akun,kode_kelompok,nama_kelompok,kode_jenis,nama_jenis,kode_objek,nama_objek,kode_standar_harga,nama_standar_harga,spesifikasi,satuan,volume,harga_satuan,koefisien,total_rincian,tahun_anggaran,jenis_apbd,kode_rekening,nama_rekening,kode_sub_rincian_objek,nama_sub_rincian_objek,lokasi,sumber_pendanaan,catatan,status
33,Jawa Tengah,SAT-33-029,33.01,Kota Semarang,33.01.15,Dinas Kepemudaan dan Olahraga,33.01.15.03,Bidang Pelaksanaan - Dinas Kepemudaan dan Olahraga,2,Urusan Wajib Non Pelayanan Dasar,08,Pemberdayaan Perempuan dan Perlindungan Anak,2.02.05,Program Pengembangan Ekonomi Kreatif,Pertumbuhan ekonomi kreatif,88,%,Meningkatnya kontribusi ekonomi kreatif,2.02.05.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,467,Dataset,2.02.05.10.07,Penyediaan Jasa Kebersihan,Luas area terlayani,75,M2,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.4,Belanja Transfer,5.1.05,Belanja Hibah,5.1.02.04,Belanja Premi Asuransi,SH.040,Buku Tulis,Buku tulis 100 lembar,Buah,150,16322,1.15,2815545,2023,Murni,5.1.01,Rekening Belanja Pegawai,04,E-Purchasing,Puskesmas,APBD Perubahan,Sesuai RPJMD,Proses Verifikasi
61,Kalimantan Barat,SAT-61-027,61.01,Kota Pontianak,61.01.10,Dinas Pengendalian Penduduk dan Keluarga Berencana,61.01.10.04,Bidang Evaluasi dan Pelaporan - Dinas Pengendalian Penduduk dan Keluarga Berencana,2,Urusan Wajib Non Pelayanan Dasar,16,Komunikasi dan Informatika,2.10.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,93,%,Meningkatnya kualitas infrastruktur dasar,2.10.03.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,244,Unit,2.10.03.07.09,Pembayaran Utilitas Kantor,Jumlah bulan layanan,131,Bulan,5,Dana Desa,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.2.01,Belanja Modal Tanah,5.1.02.09,Belanja Pakaian Dinas,SH.039,Spidol Whiteboard,Spidol non-permanent,Buah,388,15393,1.0,5972484,2022,Murni,1.1.02,Kas di Bendahara Pengeluaran,02,Pengadaan Melalui Tender,Aula Kantor Bupati/Walikota,APBD Murni,Perlu koordinasi lintas SKPD,Disetujui
34,DI Yogyakarta,SAT-34-008,34.01,Kota Yogyakarta,34.01.15,Dinas Kepemudaan dan Olahraga,34.01.15.03,Bidang Pelaksanaan - Dinas Kepemudaan dan Olahraga,2,Urusan Wajib Non Pelayanan Dasar,14,Pengendalian Penduduk dan Keluarga Berencana,2.08.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,85,%,Meningkatnya kinerja penunjang urusan pemerintahan,2.08.01.02,Penyediaan Barang dan Jasa Perkantoran,Jumlah barang/jasa tersedia,360,Paket,2.08.01.02.04,Pemeliharaan Kendaraan Dinas,Jumlah kendaraan terpelihara,2,Unit,6,Dana Transfer Khusus,5,Belanja Daerah,5.2,Belanja Modal,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.02,Belanja Modal Meubelair,SH.029,Server Komputer,Xeon RAM 64GB,Unit,44,41873000,1.0,1842412000,2022,Murni,5.1.01,Rekening Belanja Pegawai,04,E-Purchasing,Balai Desa,APBD Perubahan,,Disetujui
36,Banten,SAT-36-024,36.01,Kota Tangerang,36.01.25,Sekretariat DPRD,36.01.25.04,Bidang Evaluasi dan Pelaporan - Sekretariat DPRD,2,Urusan Wajib Non Pelayanan Dasar,13,Pemberdayaan Masyarakat dan Desa,2.07.09,Program Pemberdayaan Masyarakat,Persentase partisipasi masyarakat,78,%,Meningkatnya pemberdayaan masyarakat,2.07.09.15,Pengawasan dan Pengendalian,Jumlah objek pengawasan,301,Objek,2.07.09.15.01,Penyediaan Gaji dan Tunjangan ASN,Jumlah ASN terbayar,89,Orang,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.01,Belanja Pegawai,5.1.01.04,Tunjangan Fungsional,SH.008,AC Split 1 PK,Inverter low watt,Unit,63,4995000,1.0,314685000,2025,Murni,1.1.03,Kas di Bendahara Penerimaan,01,Pembelian Langsung,Balai Desa,Dana Transfer,Sesuai RPJMD,Disetujui
33,Jawa Tengah,SAT-33-009,33.01,Kota Semarang,33.01.08,Dinas Kependudukan dan Pencatatan Sipil,33.01.08.04,Bidang Evaluasi dan Pelaporan - Dinas Kependudukan dan Pencatatan Sipil,1,Urusan Wajib Pelayanan Dasar,02,Kesehatan,1.02.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,97,%,Meningkatnya kinerja penunjang urusan pemerintahan,1.02.01.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,407,Unit,1.02.01.07.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,37,Orang,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.4,Belanja Transfer,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.02,Belanja Modal Meubelair,SH.027,Alat Kesehatan Tensimeter,Tensimeter digital,Unit,449,334000,1.0,149966000,2023,Murni,1.1.02,Kas di Bendahara Pengeluaran,03,Penunjukan Langsung,Kantor SKPD,APBD Murni,,Disetujui
33,Jawa Tengah,SAT-33-049,33.01,Kota Semarang,33.01.20,Dinas Komunikasi dan Informatika,33.01.20.05,UPT Wilayah I - Dinas Komunikasi dan Informatika,1,Urusan Wajib Pelayanan Dasar,04,Perumahan Rakyat dan Kawasan Permukiman,1.04.05,Program Pengembangan Ekonomi Kreatif,Pertumbuhan ekonomi kreatif,72,%,Meningkatnya kontribusi ekonomi kreatif,1.04.05.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,237,Unit,1.04.05.07.15,Perjalanan Dinas,Jumlah perjalanan dinas,171,Kali,5,Dana Desa,5,Belanja Daerah,5.4,Belanja Transfer,5.2.01,Belanja Modal Tanah,5.2.04.01,Belanja Modal Konstruksi Jalan,SH.022,Bahan Bangunan Besi Beton,D10mm per batang,Batang,66,97000,1.0,6402000,2025,Murni,5.1.01,Rekening Belanja Pegawai,01,Pembelian Langsung,Lapangan Umum,APBD Perubahan,Perlu koordinasi lintas SKPD,Selesai
33,Jawa Tengah,SAT-33-033,33.01,Kota Semarang,33.01.01,Dinas Pendidikan,33.01.01.01,Sekretariat - Dinas Pendidikan,3,Urusan Pilihan,20,Perindustrian,3.04.09,Program Pemberdayaan Masyarakat,Persentase partisipasi masyarakat,52,%,Meningkatnya pemberdayaan masyarakat,3.04.09.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,198,Unit,3.04.09.07.08,Penyediaan Jasa Keamanan,Jumlah petugas keamanan,155,Orang,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.2,Belanja Modal,5.2.05,Belanja Modal Aset Tetap Lainnya,5.1.02.01,Belanja Bahan Pakai Habis,SH.042,Tali Rafia,Tali rafia 200 meter,Gulung,152,22971,2.0,6983184,2025,Perubahan,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Gedung Serbaguna,APBD Murni,,Disetujui
31,DKI Jakarta,SAT-31-049,31.03,Kota Jakarta Barat,31.03.05,Badan Perencanaan Pembangunan Daerah,31.03.05.01,Sekretariat - Badan Perencanaan Pembangunan Daerah,4,Urusan Pemerintahan Umum,24,Pengawasan,4.04.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,98,%,Meningkatnya kinerja penunjang urusan pemerintahan,4.04.01.02,Penyediaan Barang dan Jasa Perkantoran,Jumlah barang/jasa tersedia,130,Paket,4.04.01.02.12,Pengadaan Komputer dan Jaringan,Jumlah unit komputer,54,Unit,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.01,Belanja Pegawai,5.1.01.01,Gaji Pokok PNS,SH.019,Jasa Kebersihan Kantor,Per bulan,Bulan,130,4661000,1.15,696819500,2022,Murni,5.1.01,Rekening Belanja Pegawai,02,Pengadaan Melalui Tender,Puskesmas,Hibah,Lanjutan tahun sebelumnya,Disetujui
32,Jawa Barat,SAT-32-034,32.02,Kabupaten Bandung,32.02.06,Dinas Perhubungan,32.02.06.06,UPT Wilayah II - Dinas Perhubungan,2,Urusan Wajib Non Pelayanan Dasar,11,Lingkungan Hidup,2.05.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,58,%,Meningkatnya kinerja penunjang urusan pemerintahan,2.05.01.12,Koordinasi dan Sinkronisasi Program,Jumlah rapat koordinasi,187,Kali,2.05.01.12.06,Penyusunan Laporan Kinerja,Jumlah laporan,93,Dokumen,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.4,Belanja Transfer,5.2.05,Belanja Modal Aset Tetap Lainnya,5.1.02.04,Belanja Premi Asuransi,SH.019,Jasa Kebersihan Kantor,Per bulan,Bulan,451,4369000,2.0,3940838000,2024,Murni,1.1.01,Kas di Kas Daerah,04,E-Purchasing,Sekolah,Hibah,,Selesai
33,Jawa Tengah,SAT-33-028,33.05,Kota Surakarta,33.05.25,Sekretariat DPRD,33.05.25.01,Sekretariat - Sekretariat DPRD,3,Urusan Pilihan,18,Pariwisata,3.02.07,Program Penanggulangan Kemiskinan,Persentase penduduk miskin,80,%,Menurunnya tingkat kemiskinan,3.02.07.14,Pelatihan dan Bimbingan Teknis,Jumlah peserta pelatihan,298,Orang,3.02.07.14.03,Pengadaan Peralatan dan Mesin,Jumlah peralatan,7,Unit,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.4,Belanja Transfer,5.2.04,"Belanja Modal Jalan, Irigasi dan Jaringan",5.2.04.01,Belanja Modal Konstruksi Jalan,SH.048,Pembersih Lantai,Cairan pel 1 liter,Botol,60,29208,1.0,1752480,2023,Murni,1.1.03,Kas di Bendahara Penerimaan,01,Pembelian Langsung,Lapangan Umum,APBD Murni,,Revisi
31,DKI Jakarta,SAT-31-024,31.01,Kota Jakarta Pusat,31.01.20,Dinas Komunikasi dan Informatika,31.01.20.03,Bidang Pelaksanaan - Dinas Komunikasi dan Informatika,3,Urusan Pilihan,17,Pertanian,3.01.08,Program Peningkatan Tata Kelola Pemerintahan,Nilai SAKIP,85,Predikat,Meningkatnya akuntabilitas kinerja,3.01.08.06,Pelaksanaan Monitoring dan Evaluasi,Jumlah kegiatan monev,104,Kegiatan,3.01.08.06.04,Pemeliharaan Kendaraan Dinas,Jumlah kendaraan terpelihara,112,Unit,6,Dana Transfer Khusus,5,Belanja Daerah,5.1,Belanja Operasi,5.1.03,Belanja Bunga,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.046,Tisu Meja,Tisu kotak 250 lembar,Kotak,194,19433,0.5,1885001,2022,Murni,1.1.01,Kas di Kas Daerah,05,Swakelola,Ruang Rapat Utama,Hibah,Menunggu DAK,Disetujui
